 Marketcap ,Unlevered.Free.Cash.Flow
501,-46.01001
74,-25.8093
99,12.58398
"2,689",-693.34125
"4,566",-1876.40175
242,163.90438
"1,789",70.12575
"2,936",-155.31663
382,69.88963
385,0
599,-8.67275
"1,214",-8.97325
"6,465",58.75
"46,093",2110.8125
162,-7.72338
"3,406",304.65325
"1,208",-48.296
849,-22.3015
628,-15.78169
66,14.56085
309,-47.34188
"59,380",0
525,5.9475
534,0.46013
299,0
242,3.3615
576,0.81225
321,0.81225
"15,174",1648.625
"11,297",1272.375
"1,365",53.84475
508,32.34188
"1,204",-131.03625
913,64.0125
87,-5.15163
548,-62.14013
242,21.81825
428,5.87395
"1,583",34.22538
287,22.38681
598,-3.41888
226,-10.905
444,-10.905
550,19.93732
"48,084",2827.875
267,240.629
250,-24.88213
373,-12.7985
544,-19.464
"23,066",-21968.25
635,12.27075
750,12.27075
783,15.30938
"2,090",0
860,5.05425
"2,081",18.39275
"1,535",-2.00338
227,-12.79338
"1,166",-240.77479
400,34.91343
"15,960",-26.60588
"26,724",-744.63763
"30,107",-1066.15113
957,-53.11663
126,-24.76763
265,15.90488
"1,086",-28.60125
"1,323",-28.60125
474,-17.52588
"1,298",-7.49625
894,-25.55685
929,0
169,-1.86458
155,-1.86458
528,0
498,-3.42135
241,-2.13046
486,-19.20425
433,-19.20425
486,-19.20425
368,-35.09488
395,-43.0105
327,-12.87102
380,-12.87102
135,-12.87102
170,-12.87102
84,-28.52538
63,-6.76875
629,77.19388
37,-37.325
95,8.22105
125,14.44626
"1,063",276.16625
"126,873",133.25
"5,045",28.86163
"1,365",95.861
79,5.18188
428,-7.50613
360,-17.18063
262,-12.2025
229,-12.2025
153,-12.2025
"1,855",2422.59086
"15,420",-2440.35288
"15,802",-2440.35288
905,-10.27188
612,-10.27188
"1,394",578.10363
"1,452",578.10363
"1,788",14.93863
"43,475",2577.25
"48,208",2577.25
"71,541",4762.55
"71,541",4762.55
454,-32.275
"2,891",-85.05763
"5,895",316.25
"3,346",79.62425
"4,151",79.62425
"3,698",79.62425
"3,150",79.62425
"7,471",245.57338
296,0
127,-16.15799
"1,215",192.5515
380,207.711
"15,793",63.86975
"13,906",2355.125
201,0
96,0
75,0
298,-45.25238
"32,010",1421.0875
"1,651",-86.22938
"1,141",71.12867
"1,115",71.12867
706,100.41366
"10,045",1065.8125
"2,325",57.9615
"1,091",57.9615
"1,446",93.11725
"3,448",404.375
"374,397",20024
930,-32.137
614,-36.70263
340,14.255
189,-5.74636
"4,006",-415.91625
"3,252",0
226,-65.36174
227,-65.36174
86,0
"38,396",498
"2,383",669.70463
"1,469",8.03
311,-1.11188
284,21.87388
195,-3.42811
243,-0.20827
371,-59.14113
"1,560",-70.3435
819,-70.3435
265,-14.97288
"1,113",110.91513
94,4.35532
"10,474",27685.00826
463,-23.78988
"1,705",99.10299
"6,590",-14691.01075
"1,885",-34.38738
"1,913",-34.38738
"1,069",0
427,1218.03975
557,-268.07563
648,0
568,578.26088
"25,662",59440.875
"17,327",43037.875
"4,930",-1314.76163
"4,421",-1875.125
"4,849",-1875.125
"4,520",-1875.125
"20,054",297399.25
"9,228",-214556
"2,064",0
"5,452",0
"1,120",0
"2,880",0
205,0.61138
"4,070",42.40438
"5,393",1153.742
134,-9.74718
645,0
"11,645",185
"1,880",36.48638
112,3.3409
821,-105.7105
260,8.85841
81,-6.73488
"5,081",459.625
"2,649",651.44713
306,22.55775
217,-1.57028
108,-3.7893
195,-3.7893
"1,420",-30.67105
"1,975",-30.67105
"2,391",493.72375
614,61.26925
782,0
81,15.953
"1,190",-11.296
410,0
251,-5.07288
453,-221.74625
"4,796",171.92363
64,15.21213
"2,355",254.73225
"44,586",2659.5
"103,297",0
"1,597",822.375
"1,299",3.57238
189,-4.18606
127,-4.68425
191,113.13188
564,-33.848
240,56.89588
736,37.92488
"5,225",119.34838
"19,440",384.00463
449,-12.91475
"2,134",257.95963
"6,065",84.625
"5,082",127.85575
"2,684",91.15925
161,11.93875
290,-0.73663
291,238.10563
263,238.10563
"1,763",167.27975
"21,395",-1397.49438
"6,072",346.71625
"1,797",60.50413
721,-8.73171
"2,090",111.7705
93,-12.67988
848,0
583,10.51625
796,32.20113
782,32.20113
"47,802",4920.725
"44,300",4920.725
266,0
"1,845",-84.772
"2,090",64.84413
300,0
766,-26.52725
47,-22.19763
"1,020",26.73738
409,-24.82813
301,10.7405
"7,338",723
"2,180",-79.76543
"1,821",-79.76543
273,-5.38138
"1,683",0
"12,184",346.6375
"1,941",108.43988
"20,264",823.34363
"5,605",23.0815
"7,709",0
849,184.93513
"1,568",31.87863
20,-1.54888
622,0
773,0
"3,455",263.712
"28,799",1745.08688
136,56.73438
271,21.8505
101,-66.78018
"11,236",647.33413
292,-34.93561
375,0.40588
48,0.53439
744,-4.1235
"1,189",-35.55663
314,19.39192
287,19.39192
82,1.47113
259,8.444
293,8.444
"4,756",105.83338
77,-2.29246
"27,813",616.05025
32,-17.54388
121,-24.07825
0,9536.625
"1,905",76.04888
870,89.82725
363,-14.1225
"41,599",5342.84263
"1,338",-1.53588
"1,304",-272.12277
"60,220",975.75
139,0.44692
478,-19.85288
646,35.8055
"2,488",77.1145
29,-6.49524
178,-3.881
302,-3.881
393,6.86163
"3,577",0
"2,352",150.40288
104,-2.64357
319,22.84613
566,95.29713
"19,992",1.564
592,0
"2,432",363.19475
"2,505",363.19475
"4,809",325.64738
897,109.5
493,32.51438
278,6.3625
275,-45.18425
858,0
169,9.81925
84,-24.50013
"7,866",665.552
"1,070",-61.72188
"3,358",164.36925
833,0
775,96.20975
"25,950",182.125
10,-2.38133
92,2.71863
64,-5.14107
"6,427",415.472
"23,330",855.625
"1,557",67.8455
"1,288",67.8455
811,-3.74175
230,23.25636
323,-9.18625
556,-104.67688
235,71.46913
"10,360",1346
824,-20.60288
746,107.544
"1,417",107.544
"1,089",107.544
"4,602",0
417,-26.95925
351,-26.95925
"1,068",52.29738
"29,863",598.865
"28,781",598.865
"25,346",598.865
"31,472",598.865
"23,486",1872.625
"4,720",-3.8575
"5,160",-3.8575
"1,615",-10.266
"1,040",-37.69186
"5,321",146.927
176,7.01425
"11,705",613.5
"10,520",2813.55
"10,123",56.20863
"5,900",95.2135
"5,702",95.2135
"4,756",95.2135
953,46.273
334,17.1925
"5,073",61.02213
380,-12.59863
"11,646",2968.625
"7,901",2968.625
"3,490",-163.68163
93,-9.44069
284,-16.72982
222,-16.72982
"80,591",0
"5,806",158.92813
678,21.03838
873,21.03838
"1,247",104.3405
91,-1.83545
"4,301",-3.10675
126,-5.76537
241,-31.82475
